,2008,339,550,12.29,6543,0
121,2008,339,600,12.29,6543,0
121,2008,339,610,12.06,6543,0
121,2008,339,620,12.28,6543,0
121,2008,339,630,12.28,6543,0
121,2008,339,640,12.28,6543,0
121,2008,339,650,12.29,6543,0
121,2008,339,700,12.29,6543,0
121,2008,339,710,12.29,6543,0
121,2008,339,720,12.29,6543,0
121,2008,339,730,12.29,6543,0
121,2008,339,740,12.29,6543,0
121,2008,339,750,12.29,6543,0
121,2008,339,800,12.29,6543,0
121,2008,339,810,12.29,6543,0
121,2008,339,820,12.29,6543,0
121,2008,339,830,12.29,6543,0
121,2008,339,840,12.29,6543,0
121,2008,339,850,12.29,6543,0
121,2008,339,900,12.29,6543,0
121,2008,339,910,12.29,6543,0
121,2008,339,920,12.29,6543,0
121,2008,339,930,12.29,6543,0
121,2008,339,940,12.29,6543,0
121,2008,339,950,12.29,6543,0
121,2008,339,1000,12.29,6543,0
121,2008,339,1010,12.3,6543,0
121,2008,339,1020,12.3,6543,0
121,2008,339,1030,12.3,6543,0
121,2008,339,1040,12.31,6543,0
121,2008,339,1050,12.31,6543,0
121,2008,339,1100,12.31,6543,0
121,2008,339,1110,12.31,6543,0
121,2008,339,1120,12.31,6543,0
121,2008,339,1130,12.31,6543,0
121,2008,339,1140,12.32,6543,0
121,2008,339,1150,12.32,6543,0
121,2008,339,1200,12.32,6543,0
121,2008,339,1210,12.32,6543,0
121,2008,339,1220,12.33,6543,0
121,2008,339,1230,12.33,6543,0
121,2008,339,1240,12.34,6543,0
121,2008,339,1250,12.34,6543,0
121,2008,339,1300,12.34,6543,0
121,2008,339,1310,12.34,6543,0
121,2008,339,1320,12.34,6543,0
121,2008,339,1330,12.35,6543,0
121,2008,339,1340,12.35,6543,0
121,2008,339,1350,12.36,6543,0
121,2008,339,1400,12.36,6543,0
121,2008,339,1410,12.36,6543,0
121,2008,339,1420,12.36,6543,0
121,2008,339,1430,12.36,6543,0
121,2008,339,1440,12.36,6543,0
121,2008,339,1450,12.37,6543,0
121,2008,339,1500,12.37,6543,0
121,2008,339,1510,12.37,6543,0
121,2008,339,1520,12.37,6543,0
121,2008,339,1530,12.37,6543,0
121,2008,339,1540,12.37,6543,0
121,2008,339,1550,12.37,6543,0
121,2008,339,1600,12.38,6543,0
121,2008,339,1610,12.37,6543,0
121,2008,339,1620,12.38,6543,0
121,2008,339,1630,12.37,6543,0
121,2008,339,1640,12.37,6543,0
121,2008,339,1650,12.37,6543,0
121,2008,339,1700,12.38,6543,0
121,2008,339,1710,12.38,6543,0
121,2008,339,1720,12.37,6543,0
121,2008,339,1730,12.37,6543,0
121,2008,339,1740,12.37,6543,0
121,2008,339,1750,12.37,6543,0
121,2008,339,1800,12.37,6543,0
121,2008,339,1810,12.2,6543,0
121,2008,339,1820,12.36,6543,0
121,2008,339,1830,12.36,6543,0
121,2008,339,1840,12.36,6543,0
121,2008,339,1850,12.36,6543,0
121,2008,339,1900,12.36,6543,0
121,2008,339,1910,12.36,6543,0
121,2008,339,1920,12.36,6543,0
121,2008,339,1930,12.36,6543,0
121,2008,339,1940,12.36,6543,0
121,2008,339,1950,12.36,6543,0
121,2008,339,2000,12.35,6543,0
