
,2006,73,2140,13.32,523.9,0
111,2006,73,2150,13.33,523.9,0
111,2006,73,2200,13.32,523.9,0
111,2006,73,2210,13.33,523.9,0
111,2006,73,2220,13.34,523.9,0
111,2006,73,2230,13.34,523.9,0
111,2006,73,2240,13.34,523.9,0
111,2006,73,2250,13.35,523.9,0
111,2006,73,2300,13.36,523.9,0
111,2006,73,2310,13.36,523.9,0
111,2006,73,2320,13.36,523.9,0
111,2006,73,2330,13.38,523.9,0
111,2006,73,2340,13.38,523.9,0
111,2006,73,2350,13.38,523.9,0
111,2006,73,2400,13.39,523.9,0
112,2006,73,2400,13.21,523.9,.01
111,2006,74,10,13.4,523.9,0
111,2006,74,20,13.4,523.9,0
111,2006,74,30,13.41,523.9,0
111,2006,74,40,13.41,523.9,0
111,2006,74,50,13.42,523.9,0
111,2006,74,100,13.42,523.9,0
111,2006,74,110,13.43,523.9,0
111,2006,74,120,13.43,523.9,0
111,2006,74,130,13.44,523.9,0
111,2006,74,140,13.45,523.9,0
111,2006,74,150,13.45,523.9,0
111,2006,74,200,13.47,523.9,0
111,2006,74,210,13.47,523.9,0
111,2006,74,220,13.47,523.9,0
111,2006,74,230,13.47,523.9,0
111,2006,74,240,13.47,523.9,0
111,2006,74,250,13.48,523.9,0
111,2006,74,300,13.49,523.9,0
111,2006,74,310,13.49,523.9,0
111,2006,74,320,13.49,523.9,0
111,2006,74,330,13.5,523.9,0
111,2006,74,340,13.5,523.9,0
111,2006,74,350,13.51,523.9,0
111,2006,74,400,13.51,523.9,0
111,2006,74,410,13.52,523.9,0
111,2006,74,420,13.52,523.9,0
111,2006,74,430,13.52,523.9,0
111,2006,74,440,13.53,523.9,0
111,2006,74,450,13.54,523.9,0
111,2006,74,500,13.53,523.9,0
111,2006,74,510,13.54,523.9,0
111,2006,74,520,13.55,523.9,0
111,2006,74,530,13.55,523.9,0
111,2006,74,540,13.55,523.9,0
111,2006,74,550,13.56,523.9,0
111,2006,74,600,13.56,523.9,0
111,2006,74,610,13.56,523.9,0
111,2006,74,620,13.56,523.9,0
111,2006,74,630,13.57,523.9,0
111,2006,74,640,13.57,523.9,0
111,2006,74,650,13.57,523.9,0
111,2006,74,700,13.58,523.9,0
111,2006,74,710,13.58,523.9,0
111,2006,74,720,13.58,523.9,0
111,2006,74,730,13.57,523.9,0
111,2006,74,740,13.56,523.9,0
111,2006,74,750,13.57,523.9,0
111,2006,74,800,13.56,523.9,0
111,2006,74,810,13.56,523.9,0
111,2006,74,820,13.54,523.9,0
111,2006,74,830,13.54,523.9,0
111,2006,74,840,13.52,523.9,0
111,2006,74,850,13.52,523.9,0
111,2006,74,900,13.52,523.9,0
111,2006,74,910,13.5,523.9,0
111,2006,74,920,13.5,523.9,0
111,2006,74,930,13.5,523.9,0
111,2006,74,940,13.49,523.9,0
111,2006,74,950,13.47,523.9,0
111,2006,74,1000,13.45,523.9,0
111,2006,74,1010,13.45,523.9,0
111,2006,74,1020,13.45,523.9,0
111,2006,74,1030,13.45,523.9,0
111,2006,74,1040,13.43,523.9,0
111,2006,74,1050,13.43,523.9,0
111,2006,74,1100,13.42,523.9,0
111,2006,74,1110,13.41,523.9,0
111,2006,74,1120,13.39,523.9,0
111,2006,74,1130,13.39,523.9,0
111,2006,74,1140,13.37,523.9,0
111,2006,74,1150,13.36,523.9,0
111,2006,74,1200,13.36,523.9,0
111,2006,74,1210,13.37,523.9,0
111,2006,74,1220,13.38,523.9,0
111,2006,74,1230,13.38,523.9,0
111,2006,74,1240,13.38,523.9,0
