,2008,339,550,13.64,4168,0
131,2008,339,600,13.64,4168,0
131,2008,339,610,13.56,4168,0
131,2008,339,620,13.64,4168,0
131,2008,339,630,13.64,4168,0
131,2008,339,640,13.64,4168,0
131,2008,339,650,13.64,4168,0
131,2008,339,700,13.64,4168,0
131,2008,339,710,13.64,4168,0
131,2008,339,720,13.64,4168,0
131,2008,339,730,13.64,4168,0
131,2008,339,740,13.64,4168,0
131,2008,339,750,13.64,4168,0
131,2008,339,800,13.64,4168,0
131,2008,339,810,13.64,4168,0
131,2008,339,820,13.64,4168,0
131,2008,339,830,13.64,4168,0
131,2008,339,840,13.64,4168,0
131,2008,339,850,13.64,4168,0
131,2008,339,900,13.64,4168,0
131,2008,339,910,13.64,4168,0
131,2008,339,920,13.64,4168,0
131,2008,339,930,13.63,4168,0
131,2008,339,940,13.63,4168,0
131,2008,339,950,13.62,4168,0
131,2008,339,1000,13.61,4168,0
131,2008,339,1010,13.61,4168,0
131,2008,339,1020,13.61,4168,0
131,2008,339,1030,13.59,4168,0
131,2008,339,1040,13.59,4168,0
131,2008,339,1050,13.57,4168,0
131,2008,339,1100,13.57,4168,0
131,2008,339,1110,13.56,4168,0
131,2008,339,1120,13.55,4168,0
131,2008,339,1130,13.55,4168,0
131,2008,339,1140,13.54,4168,0
131,2008,339,1150,13.53,4168,0
131,2008,339,1200,13.51,4168,0
131,2008,339,1210,13.51,4168,0
131,2008,339,1220,13.51,4168,0
131,2008,339,1230,13.49,4168,0
131,2008,339,1240,13.49,4168,0
131,2008,339,1250,13.48,4168,0
131,2008,339,1300,13.47,4168,0
131,2008,339,1310,13.47,4168,0
131,2008,339,1320,13.45,4168,0
131,2008,339,1330,13.45,4168,0
131,2008,339,1340,13.43,4168,0
131,2008,339,1350,13.43,4168,0
131,2008,339,1400,13.43,4168,0
131,2008,339,1410,13.42,4168,0
131,2008,339,1420,13.41,4168,0
131,2008,339,1430,13.4,4168,0
131,2008,339,1440,13.4,4168,0
131,2008,339,1450,13.39,4168,0
131,2008,339,1500,13.39,4168,0
131,2008,339,1510,13.38,4168,0
131,2008,339,1520,13.38,4168,0
131,2008,339,1530,13.37,4168,0
131,2008,339,1540,13.36,4168,0
131,2008,339,1550,13.36,4168,0
131,2008,339,1600,13.36,4168,0
131,2008,339,1610,13.35,4168,0
131,2008,339,1620,13.35,4168,0
131,2008,339,1630,13.35,4168,0
131,2008,339,1640,13.34,4168,0
131,2008,339,1650,13.34,4168,0
131,2008,339,1700,13.34,4168,0
131,2008,339,1710,13.34,4168,0
131,2008,339,1720,13.34,4168,0
131,2008,339,1730,13.34,4168,0
131,2008,339,1740,13.34,4168,0
131,2008,339,1750,13.34,4168,0
131,2008,339,1800,13.34,4168,0
131,2008,339,1810,13.28,4168,0
131,2008,339,1820,13.34,4168,0
131,2008,339,1830,13.35,4168,0
131,2008,339,1840,13.35,4168,0
131,2008,339,1850,13.36,4168,0
131,2008,339,1900,13.36,4168,0
131,2008,339,1910,13.36,4168,0
131,2008,339,1920,13.37,4168,0
131,2008,339,1930,13.37,4168,0
131,2008,339,1940,13.38,4168,0
131,2008,339,1950,13.38,4168,0
131,2008,339,2000,13.38,4168,0
131,2008,339,2010,13.39,4168,0
131,2008,339,2020,13.4,4168,0
131,2008,339,2030,13.4,4168,0
131,2008,339,2040,13.4,4168,0
131,2008,339,2050,13.4,4168,0
131,2008,339,2100,13.4,4168,0
131,2008,339,2110,13.41,4168,0
131,2008,339,2120,13.42,4168,0
131,2008,339,2130,13.42,4168,0
131,2008,339,2140,13.42,4168,0
131,2008,339,2150,13.42,4168,0
131,2008,339,2200,13.43,4168,0
131,2008,339,2210,13.43,4168,0
131,2008,339,2220,13.43,4168,0
131,2008,339,2230,13.43,4168,0
131,2008,339,2240,13.43,4168,0
131,2008,339,2250,13.43,4168,0
131,2008,339,2300,13.44,4168,0
131,2008,339,2310,13.44,4168,0
131,2008,339,2320,13.44,4168,0
131,2008,339,2330,13.45,4168,0
131,2008,339,2340,13.45,4168,0
131,2008,339,2350,13.45,4168,0
131,2008,339,2400,13.45,4168,0
132,2008,339,2400,13.28,4168,0
131,2008,340,10,13.45,4168,0
131,2008,340,20,13.45,4168,0
131,2008,340,30,13.46,4168,0
131,2008,340,40,13.45,4168,0
131,2008,340,50,13.46,4168,0
131,2008,340,100,13.46,4168,0
131,2008,340,110,13.46,4168,0
131,2008,340,120,13.46,4168,0
131,2008,340,130,13.46,4168,0
131,2008,340,140,13.46,4168,0
131,2008,340,150,13.47,4168,0
131,2008,340,200,13.46,4168,0
131,2008,340,210,13.47,4168,0
131,2008,340,220,13.47,4168,0
131,2008,340,230,13.47,4168,0
131,2008,340,240,13.47,4168,0
131,2008,340,250,13.47,4168,0
131,2008,340,300,13.47,4168,0
131,2008,340,310,13.47,4168,0
131,2008,340,320,13.47,4168,0
131,2008,340,330,13.47,4168,0
131,2008,340,340,13.47,4168,0
131,2008,340,350,13.47,4168,0
131,2008,340,400,13.47,4168,0
131,2008,340,410,13.47,4168,0
131,2008,340,420,13.47,4168,0
131,2008,340,430,13.47,4168,0
131,2008,340,440,13.47,4168,0
131,2008,340,450,13.47,4168,0
131,2008,340,500,13.47,4168,0
131,2008,340,510,13.48,4168,0
131,2008,340,520,13.48,4168,0
131,2008,340,530,13.47,4168,0
131,2008,340,540,13.47,4168,0
131,2008,340,550,13.48,4168,0
131,2008,340,600,13.47,4168,0
131,2008,340,610,13.41,4168,0
131,2008,340,620,13.48,4168,0
131,2008,340,630,13.47,4168,0
131,2008,340,640,13.48,4168,0
131,2008,340,650,13.48,4168,0
131,2008,340,700,13.48,4168,0
131,2008,340,710,13.48,4168,0
131,2008,340,720,13.48,4168,0
131,2008,340,730,13.48,4168,0
131,2008,340,740,13.49,4168,0
131,2008,340,750,13.49,4168,0
131,2008,340,800,13.49,4168,0
131,2008,340,810,13.48,4168,0
131,2008,340,820,13.48,4168,0
131,2008,340,830,13.49,4168,0
131,2008,340,840,13.49,4168,0
131,2008,340,850,13.49,4168,0
131,2008,340,900,13.49,4168,0
131,2008,340,910,13.49,4168,0
131,2008,340,920,13.49,4168,0
131,2008,340,930,13.49,4168,0
131,2008,340,940,13.48,4168,0
131,2008,340,950,13.48,4168,0
131,2008,340,1000,13.48,4168,0
131,2008,340,1010,13.48,4168,0
131,2008,340,1020,13.48,4168,0
131,2008,340,1030,13.47,4168,0
131,2008,340,1040,13.47,4168,0
131,2008,340,1050,13.47,4168,0
131,2008,340,1100,13.47,4168,0
131,2008,340,1110,13.46,4168,0
131,2008,340,1120,13.46,4168,0
131,2008,340,1130,13.45,4168,0
131,2008,340,1140,13.45,4168,0
131,2008,340,1150,13.45,4168,0
131,2008,340,1200,13.44,4168,0
131,2008,340,1210,13.44,4168,0
131,2008,340,1220,13.43,4168,0
131,2008,340,1230,13.43,4168,0
131,2008,340,1240,13.43,4168,0
131,2008,340,1250,13.43,4168,0
131,2008,340,1300,13.42,4168,0
131,2008,340,1310,13.43,4168,0
131,2008,340,1320,13.41,4168,0
131,2008,340,1330,13.41,4168,0
131,2008,340,1340,13.41,4168,0
131,2008,340,1350,13.41,4168,0
131,2008,340,1400,13.41,4168,0
131,2008,340,1410,13.4,4168,0
131,2008,340,1420,13.4,4168,0
131,2008,340,1430,13.4,4168,0
131,2008,340,1440,13.4,4168,0
131,2008,340,1450,13.4,4168,0
131,2008,340,1500,13.4,4168,0
131,2008,340,1510,13.4,4168,0
131,2008,340,1520,13.4,4168,0
131,2008,340,1530,13.4,4168,0
131,2008,340,1540,13.4,4168,0
131,2008,340,1550,13.4,4168,0
131,2008,340,1600,13.4,4168,0
131,2008,340,1610,13.4,4168,0
131,2008,340,1620,13.4,4168,0
131,2008,340,1630,13.4,4168,0
131,2008,340,1640,13.4,4168,0
131,2008,340,1650,13.4,4168,0
131,2008,340,1700,13.41,4168,0
131,2008,340,1710,13.41,4168,0
131,2008,340,1720,13.41,4168,0
131,2008,340,1730,13.41,4168,0
131,2008,340,1740,13.42,4168,0
131,2008,340,1750,13.42,4168,0
131,2008,340,1800,13.42,4168,0
131,2008,340,1810,13.35,4168,0
131,2008,340,1820,13.42,4168,0
131,2008,340,1830,13.42,4168,0
131,2008,340,1840,13.43,4168,0
131,2008,340,1850,13.43,4168,0
131,2008,340,1900,13.43,4168,0
131,2008,340,1910,13.43,4168,0
131,2008,340,1920,13.43,4168,0
131,2008,340,1930,13.44,4168,0
131,2008,340,1940,13.45,4168,0
131,2008,340,1950,13.45,4168,0
131,2008,340,2000,13.45,4168,0
131,2008,340,2010,13.45,4168,0
131,2008,340,2020,13.46,4168,0
131,2008,340,2030,13.47,4168,0
131,2008,340,2040,13.47,4168,0
131,2008,340,2050,13.47,4168,0
131,2008,340,2100,13.47,4168,0
131,2008,340,2110,13.49,4168,0
131,2008,340,2120,13.49,4168,0
131,2008,340,2130,13.49,4168,0
131,2008,340,2140,13.49,4168,0
131,2008,340,2150,13.49,4168,0
131,2008,340,2200,13.5,4168,0
131,2008,340,2210,13.5,4168,0
131,2008,340,2220,13.51,4168,0
131,2008,340,2230,13.51,4168,0
131,2008,340,2240,13.51,4168,0
131,2008,340,2250,13.51,4168,0
131,2008,340,2300,13.52,4168,0
131,2008,340,2310,13.53,4168,0
131,2008,340,2320,13.53,4168,0
131,2008,340,2330,13.53,4168,0
131,2008,340,2340,13.53,4168,0
131,2008,340,2350,13.53,4168,0
131,2008,340,2400,13.53,4168,0
132,2008,340,2400,13.35,4168,0
131,2008,341,10,13.54,4168,0
131,2008,341,20,13.54,4168,0
131,2008,341,30,13.55,4168,0
131,2008,341,40,13.55,4168,0
131,2008,341,50,13.55,4168,0
131,2008,341,100,13.55,4168,0
131,2008,341,110,13.55,4168,0
131,2008,341,120,13.55,4168,0
131,2008,341,130,13.55,4168,0
131,2008,341,140,13.56,4168,0
131,2008,341,150,13.56,4168,0
131,2008,341,200,13.55,4168,0
131,2008,341,210,13.57,4168,0
131,2008,341,220,13.57,4168,0
131,2008,341,230,13.57,4168,0
131,2008,341,240,13.57,4168,0
131,2008,341,250,13.57,4168,0
131,2008,341,300,13.57,4168,0
131,2008,341,310,13.57,4168,0
131,2008,341,320,13.57,4168,0
131,2008,341,330,13.58,4168,0
131,2008,341,340,13.58,4168,0
131,2008,341,350,13.58,4168,0
131,2008,341,400,13.58,4168,0
131,2008,341,410,13.58,4168,0
131,2008,341,420,13.59,4168,0
131,2008,341,430,13.59,4168,0
131,2008,341,440,13.59,4168,0
131,2008,341,450,13.59,4168,0
131,2008,341,500,13.59,4168,0
131,2008,341,510,13.59,4168,0
131,2008,341,520,13.59,4168,0
131,2008,341,530,13.59,4168,0
131,2008,341,540,13.59,4168,0
131,2008,341,550,13.59,4168,0
131,2008,341,600,13.59,4168,0
131,2008,341,610,13.51,4168,0
131,2008,341,620,13.59,4168,0
131,2008,341,630,13.6,4168,0
131,2008,341,640,13.6,4168,0
131,2008,341,650,13.6,4168,0
131,2008,341,700,13.6,4168,0
131,2008,341,710,13.6,4168,0
131,2008,341,720,13.61,4168,0
131,2008,341,730,13.61,4168,0
131,2008,341,740,13.61,4168,0
131,2008,341,750,13.61,4168,0
131,2008,341,800,13.61,4168,0
131,2008,341,810,13.61,4168,0
131,2008,341,820,13.61,4168,0
131,2008,341,830,13.61,4168,0
131,2008,341,840,13.61,4168,0
131,2008,341,850,13.61,4168,0
131,2008,341,900,13.6,4168,0
131,2008,341,910,13.61,4168,0
131,2008,341,920,13.6,4168,0
131,2008,341,930,13.6,4168,0
131,2008,341,940,13.59,4168,0
131,2008,341,950,13.59,4168,0
131,2008,341,1000,13.59,4168,0
131,2008,341,1010,13.59,4168,0
131,2008,341,1020,13.58,4168,0
131,2008,341,1030,13.57,4168,0
131,2008,341,1040,13.57,4168,0
131,2008,341,1050,13.56,4168,0
131,2008,341,1100,13.55,4168,0
131,2008,341,1110,13.55,4168,0
131,2008,341,1120,13.54,4168,0
131,2008,341,1130,13.53,4168,0
131,2008,341,1140,13.53,4168,0
131,2008,341,1150,13.52,4168,0
131,2008,341,1200,13.51,4168,0
131,2008,341,1210,13.51,4168,0
131,2008,341,1220,13.51,4168,0
131,2008,341,1230,13.5,4168,0
131,2008,341,1240,13.49,4168,0
131,2008,341,1250,13.49,4168,0
131,2008,341,1300,13.48,4168,0
131,2008,341,1310,13.47,4168,0
131,2008,341,1320,13.47,4168,0
131,2008,341,1330,13.46,4168,0
131,2008,341,1340,13.45,4168,0
131,2008,341,1350,13.45,4168,0
131,2008,341,1400,13.44,4168,0
131,2008,341,1410,13.43,4168,0
131,2008,341,1420,13.43,4168,0
131,2008,341,1430,13.42,4168,0
131,2008,341,1440,13.41,4168,0
131,2008,341,1450,13.41,4168,0
131,2008,341,1500,13.4,4168,0
131,2008,341,1510,13.4,4168,0
131,2008,341,1520,13.4,4168,0
131,2008,341,1530,13.4,4168,0
131,2008,341,1540,13.4,4168,0
131,2008,341,1550,13.39,4168,0
131,2008,341,1600,13.39,4168,0
131,2008,341,1610,13.39,4168,0
131,2008,341,1620,13.39,4168,0
131,2008,341,1630,13.38,4168,0
131,2008,341,1640,13.38,4168,0
131,2008,341,1650,13.39,4168,0
131,2008,341,1700,13.39,4168,0
131,2008,341,1710,13.39,4168,0
131,2008,341,1720,13.39,4168,0
131,2008,341,1730,13.39,4168,0
131,2008,341,1740,13.39,4168,0
131,2008,341,1750,13.39,4168,0
131,2008,341,1800,13.39,4168,0
131,2008,341,1810,13.32,4168,0
131,2008,341,1820,13.4,4168,0
131,2008,341,1830,13.4,4168,0
131,2008,341,1840,13.4,4168,0
131,2008,341,1850,13.4,4168,0
131,2008,341,1900,13.4,4168,0
131,2008,341,1910,13.4,4168,0
131,2008,341,1920,13.41,4168,0
131,2008,341,1930,13.41,4168,0
131,2008,341,1940,13.42,4168,0
131,2008,341,1950,13.41,4168,0
131,2008,341,2000,13.42,4168,0
131,2008,341,2010,13.42,4168,0
131,2008,341,2020,13.42,4168,0
131,2008,341,2030,13.42,4168,0
131,2008,341,2040,13.42,4168,0
131,2008,341,2050,13.42,4168,0
131,2008,341,2100,13.43,4168,0
131,2008,341,2110,13.42,4168,0
131,2008,341,2120,13.43,4168,0
131,2008,341,2130,13.43,4168,0
131,2008,341,2140,13.43,4168,0
131,2008,341,2150,13.43,4168,0
131,2008,341,2200,13.43,4168,0
131,2008,341,2210,13.44,4168,0
131,2008,341,2220,13.44,4168,0
131,2008,341,2230,13.44,4168,0
131,2008,341,2240,13.45,4168,0
131,2008,341,2250,13.45,4168,0
131,2008,341,2300,13.45,4168,0
131,2008,341,2310,13.45,4168,0
131,2008,341,2320,13.46,4168,0
131,2008,341,2330,13.45,4168,0
131,2008,341,2340,13.46,4168,0
131,2008,341,2350,13.46,4168,0
131,2008,341,2400,13.47,4168,0
132,2008,341,2400,13.32,4168,0
131,2008,342,10,13.47,4168,0
131,2008,342,20,13.47,4168,0
131,2008,342,30,13.47,4168,0
131,2008,342,40,13.47,4168,0
131,2008,342,50,13.47,4168,0
131,2008,342,100,13.48,4168,0
131,2008,342,110,13.49,4168,0
131,2008,342,120,13.49,4168,0
131,2008,342,130,13.49,4168,0
131,2008,342,140,13.49,4168,0
131,2008,342,150,13.49,4168,0
131,2008,342,200,13.49,4168,0
131,2008,342,210,13.5,4168,0
131,2008,342,220,13.5,4168,0
131,2008,342,230,13.51,4168,0
131,2008,342,240,13.5,4168,0
131,2008,342,250,13.51,4168,0
131,2008,342,300,13.51,4168,0
131,2008,342,310,13.51,4168,0
131,2008,342,320,13.52,4168,0
131,2008,342,330,13.52,4168,0
131,2008,342,340,13.52,4168,0
131,2008,342,350,13.53,4168,0
131,2008,342,400,13.53,4168,0
131,2008,342,410,13.53,4168,0
131,2008,342,420,13.54,4168,0
131,2008,342,430,13.54,4168,0
131,2008,342,440,13.54,4168,0
131,2008,342,450,13.55,4168,0
131,2008,342,500,13.55,4168,0
131,2008,342,510,13.55,4168,0
131,2008,342,520,13.55,4168,0
131,2008,342,530,13.56,4168,0
131,2008,342,540,13.56,4168,0
131,2008,342,550,13.57,4168,0
131,2008,342,600,13.57,4168,0
131,2008,342,610,13.49,4168,0
