,2008,338,450,12.63,4936,0
101,2008,338,500,12.63,4936,0
101,2008,338,510,12.62,4936,0
101,2008,338,520,12.62,4936,0
101,2008,338,530,12.62,4936,0
101,2008,338,540,12.61,4936,0
101,2008,338,550,12.61,4936,0
101,2008,338,600,12.6,4936,0
101,2008,338,610,12.52,4936,0
101,2008,338,620,12.58,4936,0
101,2008,338,630,12.58,4936,0
101,2008,338,640,12.58,4936,0
101,2008,338,650,12.58,4936,0
101,2008,338,700,12.58,4936,0
101,2008,338,710,12.57,4936,0
101,2008,338,720,12.57,4936,0
101,2008,338,730,12.56,4936,0
101,2008,338,740,12.56,4936,0
101,2008,338,750,12.56,4936,0
101,2008,338,800,12.56,4936,0
101,2008,338,810,12.55,4936,0
101,2008,338,820,12.54,4936,0
101,2008,338,830,12.55,4936,0
101,2008,338,840,12.58,4936,0
101,2008,338,850,12.62,4936,0
101,2008,338,900,12.68,4936,0
101,2008,338,910,12.76,4936,0
101,2008,338,920,13,4936,0
101,2008,338,930,14.09,4936,0
101,2008,338,940,14.33,4936,0
101,2008,338,950,14.41,4936,0
101,2008,338,1000,14.66,4936,0
101,2008,338,1010,14.98,4936,0
101,2008,338,1020,14.95,4936,0
101,2008,338,1030,13.77,4936,0
101,2008,338,1040,13.75,4936,0
101,2008,338,1050,13.73,4936,0
101,2008,338,1100,13.7,4936,0
101,2008,338,1110,13.67,4936,0
101,2008,338,1120,13.61,4936,0
101,2008,338,1130,13.56,4936,0
101,2008,338,1140,13.51,4936,0
101,2008,338,1150,13.47,4936,0
101,2008,338,1200,13.43,4936,0
101,2008,338,1210,13.4,4936,0
101,2008,338,1220,13.37,4936,0
101,2008,338,1230,13.34,4936,0
101,2008,338,1240,13.31,4936,0
101,2008,338,1250,13.28,4936,0
101,2008,338,1300,13.26,4936,0
101,2008,338,1310,13.23,4936,0
101,2008,338,1320,13.2,4936,0
101,2008,338,1330,13.18,4936,0
101,2008,338,1340,13.16,4936,0
101,2008,338,1350,13.13,4936,0
101,2008,338,1400,13.1,4936,0
101,2008,338,1410,13.09,4936,0
